curve_type,sample_id,x,density
observed,observed,15.241432124937134,2.0086895596879373e-24
observed,observed,15.516485250192801,8.712549841073822e-24
observed,observed,15.791538375448468,3.687526618231584e-23
observed,observed,16.066591500704135,1.5229391657210284e-22
observed,observed,16.341644625959802,6.13744384147886e-22
observed,observed,16.61669775121547,2.413516021289345e-21
observed,observed,16.891750876471136,9.261271853873516e-21
observed,observed,17.166804001726803,3.4677597698785286e-20
observed,observed,17.44185712698247,1.2670257977262258e-19
observed,observed,17.716910252238137,4.517312960593035e-19
observed,observed,17.991963377493803,1.5715687715359093e-18
observed,observed,18.26701650274947,5.335134229879888e-18
observed,observed,18.542069628005137,1.7673247876772063e-17
observed,observed,18.817122753260804,5.712770931010395e-17
observed,observed,19.09217587851647,1.8019266475775678e-16
observed,observed,19.367229003772138,5.54610100308864e-16
observed,observed,19.642282129027805,1.665710096191904e-15
observed,observed,19.917335254283472,4.881718804158563e-15
observed,observed,20.19238837953914,1.396074693246519e-14
observed,observed,20.467441504794806,3.8959028518119605e-14
observed,observed,20.742494630050473,1.0608948920299784e-13
observed,observed,21.017547755306136,2.819050186053126e-13
observed,observed,21.292600880561803,7.309727238000464e-13
observed,observed,21.56765400581747,1.849564499657716e-12
observed,observed,21.842707131073137,4.566780672404441e-12
observed,observed,22.117760256328804,1.1003379087124598e-11
observed,observed,22.39281338158447,2.5871445014008896e-11
observed,observed,22.667866506840138,5.936057500447415e-11
observed,observed,22.942919632095805,1.3291170606512874e-10
observed,observed,23.217972757351472,2.904169615249595e-10
observed,observed,23.49302588260714,6.192719318647001e-10
observed,observed,23.768079007862806,1.2886944880556838e-09
observed,observed,24.043132133118473,2.6172059590047583e-09
observed,observed,24.31818525837414,5.187492343535887e-09
observed,observed,24.593238383629807,1.0035141369398902e-08
observed,observed,24.868291508885473,1.8947586008737872e-08
observed,observed,25.14334463414114,3.4919685506019236e-08
observed,observed,25.418397759396807,6.282016810118297e-08
observed,observed,25.693450884652474,1.1032454289398755e-07
observed,observed,25.96850400990814,1.891595704495588e-07
observed,observed,26.243557135163808,3.166759053212487e-07
observed,observed,26.51861026041947,5.177142070605875e-07
observed,observed,26.79366338567514,8.266548318535598e-07
observed,observed,27.068716510930805,1.2894482055491297e-06
observed,observed,27.343769636186472,1.96532804585806e-06
observed,observed,27.61882276144214,2.9278394172515013e-06
observed,observed,27.893875886697806,4.264802929778877e-06
observed,observed,28.168929011953473,6.076920611364269e-06
observed,observed,28.44398213720914,8.474931874301834e-06
observed,observed,28.719035262464807,1.1575546942304786e-05
observed,observed,28.994088387720474,1.5496778147268577e-05
observed,observed,29.26914151297614,2.0353670344496823e-05
observed,observed,29.544194638231808,2.6255678486190003e-05
observed,observed,29.819247763487475,3.330692140533566e-05
observed,observed,30.094300888743142,4.1610154700084695e-05
observed,observed,30.36935401399881,5.127452702141804e-05
observed,observed,30.644407139254476,6.242610074266581e-05
observed,observed,30.919460264510143,7.521894184761379e-05
observed,observed,31.19451338976581,8.984362428202175e-05
observed,observed,31.469566515021477,0.00010652959029166906
observed,observed,31.744619640277143,0.00012553823264442013
observed,observed,32.01967276553281,0.00014714492022434015
observed,observed,32.29472589078848,0.00017161033492223065
observed,observed,32.569779016044144,0.00019914402548912188
observed,observed,32.84483214129981,0.00022986541597831396
observed,observed,33.11988526655548,0.00026376897408012586
observed,observed,33.394938391811145,0.00030070031118581685
