市州,year,city_id,grade_id,obs_id,F_strength,F_speed,F_endurance,F_flexibility
泸州市教育局,2019,11,0,58,-1.448502405,0.18347283644978393,1.0897654441744962,-0.434511841
泸州市教育局,2019,11,4,59,-1.827637334,-0.330404135,0.2724086357233597,-0.369468007
甘孜藏族自治州教育局,2019,12,1,60,2.7298388043552806,-0.897045889,-2.201851696,0.5735957640903128
甘孜藏族自治州教育局,2019,12,2,61,0.8868913746168483,-1.762233922,-1.338453313,1.1203101900881018
甘孜藏族自治州教育局,2019,12,3,62,-0.244847874,-2.401872602,-0.417978829,1.4327475033471888
甘孜藏族自治州教育局,2019,12,0,63,-2.004356385,0.33913325621913465,0.3452130256400605,-0.265557197
甘孜藏族自治州教育局,2019,12,4,64,-2.217445179,0.23117057984045258,-0.271447127,0.17230922914708274
眉山市教育局,2019,13,1,65,-0.36580982,-1.08172704,-0.312700662,-0.959458444
眉山市教育局,2019,13,2,66,-0.792575569,-1.150008969,-0.643852674,-0.772113064
眉山市教育局,2019,13,3,67,-0.465251003,-1.242106679,0.04604179045170663,-0.57495331
眉山市教育局,2019,13,0,68,-0.78046591,-0.028920487,-0.112168419,-1.489031749
眉山市教育局,2019,13,4,69,-2.521586657,-0.746193773,-1.081516858,-0.94411332
绵阳市教育和体育局,2019,14,1,70,-0.757169483,-1.53308127,-0.514032772,-1.399178617
绵阳市教育和体育局,2019,14,2,71,-0.554987989,-1.270193949,-0.656964468,-0.895576251
绵阳市教育和体育局,2019,14,3,72,-0.49485776,-0.887384664,0.09729881440427902,-0.662274633
绵阳市教育和体育局,2019,14,0,73,-0.951342944,0.1538982192856034,0.5131632970524014,-2.918459674
绵阳市教育和体育局,2019,14,4,74,-1.077667,0.53725346318176,-0.543432587,-1.888315157
自贡市教育局,2019,15,1,75,-1.368071935,-1.802228184,-0.625830363,-0.613223113
自贡市教育局,2019,15,2,76,-0.986782507,-2.213018093,-0.568467541,-0.017365822
自贡市教育局,2019,15,3,77,-1.055027601,-2.21279929,0.0009507140472112923,0.43849869562148347
自贡市教育局,2019,15,0,78,-2.180408978,-0.830395418,-1.13876803,-0.169899938
自贡市教育局,2019,15,4,79,-2.949091026,-0.911362641,-0.920890828,0.5060084731184084
资阳市教育局,2019,16,1,80,-0.831355713,-1.306154509,-0.008842582,-0.573959561
资阳市教育局,2019,16,2,81,-1.113052507,-1.859963224,-0.114364296,-0.01665693
资阳市教育局,2019,16,3,82,-1.21197024,-1.978673358,-0.098939039,0.34028836086999775
资阳市教育局,2019,16,0,83,-1.69212892,-1.046632504,-1.052417721,-0.042543775
资阳市教育局,2019,16,4,84,-1.776638294,-1.029579299,-0.224272848,-0.136182516
达州市教育局,2019,17,1,85,-0.631354443,-1.91713373,-0.424991037,-1.067628994
达州市教育局,2019,17,2,86,-1.324139223,-2.366659505,-0.421853406,-0.118989756
达州市教育局,2019,17,3,87,-1.738456427,-2.493152309,-0.104102127,0.3704545825631492
