cell_id,Strength,Speed,Endurance,Flexibility
C001,-0.42057517154538804,-0.8770832643454446,0.12700301370934933,-0.49543932923474343
C002,-0.2028981976678204,-0.9831258565736729,-0.20990265362643457,-0.26766406104102825
C003,-0.006286413590800391,-1.172364749588402,0.447081284906202,-0.052060981909528355
C004,-1.3515706767053084,0.06860902372749336,-1.5720836994596508,-0.11148459882948651
C005,-1.551430002918109,0.2113021404464369,-1.6990717866653797,-0.15144538834040383
C006,-0.7405488863754671,-1.3651119849853177,-0.042462995063453225,-0.40164586918676237
C007,-0.5948986716997015,-1.5642334549755221,-0.13315302702857162,-0.11924944653110546
C008,-0.684078987085125,-1.5832510626055265,0.3679872601992855,0.10693910442648116
C009,-1.7438848145220558,-0.050744602800742715,-1.8123967416713684,-0.8524507079222836
C010,-1.5401878742542132,-0.19258726236463944,-1.0177658837774919,-0.6530497055912439
C011,1.2238228342582607,-0.7587273151986382,-0.840196412887267,0.57412276454528
C012,0.014898371529942701,-1.7939576825421841,-0.37535644492081083,1.4652776360861883
C013,-0.5807488104132019,-2.10275599573107,0.19306255812045156,2.0029851597049926
C014,-2.0571671434127663,-0.5476605188798153,1.0163866417612375,0.6471999142151857
C015,-2.8178868497667695,-0.15971995020493654,0.4301899233619025,1.1112382196614952
C016,0.16795588398656375,-2.154029055363173,-1.0023795766488253,-0.8401944575254988
C017,-0.7218182880267476,-2.0843324846438818,-0.9831061987952734,-0.3034595085570151
C018,-1.1651030786719923,-2.1859454293496423,-0.9783993373558869,-0.09399912343585685
C019,-1.9078503306311334,-0.36361972701475825,-1.0350471591585806,-0.26113697227877686
C020,-2.1233587759317833,-0.879769568151829,-2.050746264382936,0.24375069062907037
C021,0.020687172400347495,-0.7084058761567193,-0.09705481214529725,-0.2363655412392965
C022,0.17550464111402433,-0.8120850283453467,-0.17129621940114295,0.27517300626421787
C023,0.03415856601161836,-1.138764866942734,0.868628001636114,0.5602222862975715
C024,-1.470198313041065,0.042605221696793885,0.5793786880991413,0.48666346024757184
C025,-2.0865354957980906,-0.0670762765786564,0.011395426034099869,0.3129464846741483
C026,-0.41262305794024035,-1.2718497308524765,0.0792533438969615,-0.5519799433105304
C027,-0.5648093767692253,-1.3592155418395264,0.30398469949905044,-0.1127336520489875
C028,-0.8832292811740353,-1.398954299579069,1.523331174603881,0.485247801574981
C029,-1.545843011265969,-0.13011420976307622,1.488259378520891,-0.47524032169173486
C030,-1.6389040231212073,0.1461576274712968,0.9249592753849027,-0.361965362893382
C031,-0.8245625941932638,-1.894510650211043,0.03248414816475246,-1.4517538583812466
C032,-1.4007453175912732,-1.7449030144426725,-0.6096508566677585,-1.0572409646656138
C033,-1.4514289372172122,-1.6242876615576214,-0.36451723066103947,-0.6080005016368215
C034,-1.9011102254114847,-0.5423891422985665,-1.186038938499578,-1.909611083745548
C035,-1.662737435659396,-0.9364075919866454,-0.28152282822980207,-1.8644701850934673
C036,-1.2118594378817193,-2.2486970843002014,-0.3682198459788354,-1.8225717371919683
C037,-1.3629755949714881,-2.1466916178117765,-0.6192452511218828,-1.6624960826588502
C038,-1.5412294705260665,-2.2288346585230814,-0.33483044175472115,-1.235959967447088
C039,-2.3903771019651603,-0.6435679148152358,-0.9052426313475636,-1.5909399887963531
C040,-2.1435062457598875,-0.5039664404960981,-0.5348528362177617,-1.4187641012752643
C041,-0.9791816521528457,-0.8359180982113621,-0.14463320203242194,-0.3640137793806651
C042,-0.6534553027726099,-0.9086882294593567,-0.35108713651751616,-0.39777555972567846
C043,-0.6864577995861717,-0.9762505512280115,0.349459861766707,-0.3443486001533482
C044,-1.0818376309190971,-0.3237902312530707,-0.45529409223373274,-1.9374464477867805
C045,-0.7222971425168158,-0.40947274480522305,-1.3192183200755334,-1.6683263207969397
C046,-0.2160754849965215,0.6837399542394437,0.727545867844321,0.8269409601115492
C047,0.6553269449840416,0.40148483860418754,0.41948716608288905,0.8561512774612361
C048,1.1260078888256555,0.1729555775514653,1.0456441182314653,0.8713611225619934
C049,0.8792267584024958,1.2438474677001108,0.9593541778545563,0.7431652244521236
C050,0.3493296598856345,1.0791264759067378,-0.054611356329960184,0.7102324162542523
C051,-0.3626660785209159,-0.10752075675498532,-0.5440393643482667,-0.9999006611062033
C052,0.07386455400724605,-0.44830178874398346,-0.7555500798175137,-0.3504909760389688
C053,0.36309180122994794,-0.6521863637186974,0.9187977971651932,-0.2953223510958348
C054,0.0957130065386945,0.48262246533981895,2.6876201071542107,-0.5854333854470984
C055,0.09578202363495449,0.5259318714886573,0.8336484769313813,-0.19145086171490416
C056,-0.705554022640652,-0.9837815853019645,-0.19107120241502148,-0.4395808996231189
C057,-0.388059353076231,-1.0915518979294294,0.1302615141622927,0.008157865324624898
C058,-0.181857560018527,-1.023224367033322,1.630331087639115,0.34373688797786517
C059,-1.448502405020489,0.18347283644978393,1.0897654441744962,-0.4345118412006598
C060,-1.827637333717401,-0.3304041354436917,0.2724086357233597,-0.36946800721911194
C061,2.7298388043552806,-0.897045888738817,-2.2018516957633474,0.5735957640903128
C062,0.8868913746168483,-1.762233922426964,-1.338453312826017,1.1203101900881018
C063,-0.24484787374893788,-2.4018726019676455,-0.4179788288560275,1.4327475033471888
C064,-2.0043563849183927,0.33913325621913465,0.3452130256400605,-0.26555719734635314
C065,-2.217445178906991,0.23117057984045258,-0.271447127333312,0.17230922914708274
C066,-0.3658098198504384,-1.081727040264993,-0.3127006621709897,-0.9594584439750571
C067,-0.7925755688982549,-1.1500089687118995,-0.6438526743814331,-0.7721130643491628
C068,-0.46525100348969994,-1.2421066793230218,0.04604179045170663,-0.5749533100388073
C069,-0.7804659096586223,-0.02892048657451324,-0.11216841918839006,-1.4890317490040648
C070,-2.521586656893148,-0.7461937734097434,-1.0815168581578414,-0.944113320212731
C071,-0.7571694832607089,-1.533081270021847,-0.5140327716770545,-1.3991786174666738
C072,-0.5549879888759806,-1.270193949196719,-0.6569644684676067,-0.8955762514908894
C073,-0.49485776022113653,-0.8873846642408506,0.09729881440427902,-0.6622746328332095
C074,-0.9513429437576537,0.1538982192856034,0.5131632970524014,-2.9184596741851796
C075,-1.0776670003326534,0.53725346318176,-0.5434325873603549,-1.8883151574922343
C076,-1.3680719350143729,-1.8022281844110668,-0.6258303625850952,-0.6132231127712179
C077,-0.9867825072026793,-2.213018092993974,-0.5684675410697039,-0.017365822465318488
C078,-1.055027600730032,-2.2127992904582525,0.0009507140472112923,0.43849869562148347
C079,-2.1804089782209424,-0.8303954182684777,-1.1387680298850786,-0.16989993784375784
C080,-2.949091026006077,-0.9113626413108687,-0.9208908280340095,0.5060084731184084
C081,-0.8313557131223107,-1.3061545090361555,-0.00884258153373084,-0.5739595613774626
C082,-1.1130525071021833,-1.8599632236307708,-0.11436429610112969,-0.016656930322982155
C083,-1.2119702398120806,-1.9786733582963676,-0.09893903918070036,0.34028836086999775
C084,-1.6921289197512728,-1.0466325036235489,-1.0524177209747143,-0.04254377455540489
C085,-1.776638293983138,-1.029579299437904,-0.22427284771660622,-0.13618251635323012
C086,-0.6313544426021609,-1.9171337303831906,-0.42499103735504357,-1.06762899353951
C087,-1.3241392229462525,-2.3666595049299177,-0.42185340627342416,-0.11898975565399056
C088,-1.7384564268520726,-2.4931523089941225,-0.10410212745759215,0.3704545825631492
C089,-2.2071517392266915,-0.6861531626440006,0.1132534325612445,-0.29677102895521645
C090,-2.419429504528389,-0.9707892905214566,-0.6314795596042376,-0.5686404986014494
C091,-0.21635775793742323,-1.2684325112968016,-0.9072972125442121,-1.7145606042275356
C092,-0.8664472273040008,-1.5804215679668665,-0.7952250055386945,-1.142861153748278
C093,-1.2749625854578508,-1.4665597165740694,0.133772771140448,-0.4820683351978735
C094,-1.942408201590148,-0.16684362568268424,-1.448703086710493,-1.650398594776859
C095,-2.2632580986668245,0.10453401966408739,-0.7697329679647171,-1.8617314681503383
C096,0.25392724130426647,-0.8956814882897723,-0.4476997575134829,-0.020405265495749468
C097,0.5452219341632879,-0.8219428870530755,0.06182807426675463,0.718101597991227
C098,0.27121135291713483,-1.0692160002815876,1.2906745319647817,1.363228390169386
C099,-1.1907212107914966,-0.8864080116032718,0.8503118949919743,-0.2537608175514781
C100,-0.47369162721776603,-0.771426257473556,0.14749045801126642,-0.5205965168459225
C101,0.40918463413525424,0.06604949491455468,-0.06837936642456144,-0.3816502149093006
C102,0.3546552658194085,-0.31073547753821457,0.009610574179563295,0.15103092825199588
C103,0.26912250640154833,-0.48378485161113155,0.718594978322808,0.2095192016388719
C104,-1.0022349243600421,0.5598886080837314,0.26023437290156376,-1.0304208103757702
C105,-1.7008094309350148,0.14046582632472865,-0.06164539819517803,-1.4997210855098873
C106,0.07183615582348309,-0.38434223891254354,0.08233970504091032,-0.41630599824585035
C107,0.23652322015063731,-0.5083594821325936,-0.3187825675947874,-0.11496004066751148
C108,0.6841002913925612,-0.7982069090798125,-0.33365373186326647,0.1504336283110398
C109,-1.10066961653978,0.42031705620035087,-3.024142208092003,0.08706326851207453
C110,-1.588991648087375,0.23977914327710204,-3.0635570404612396,-0.07159427506379526
C111,-0.6276249118560742,-1.1441374774974973,-0.3786705998408501,-0.5510398923109323
C112,-0.28141040521056065,-1.7318787274945313,-0.47203429012096293,-0.12964906513377036
C113,-0.48174010754025504,-1.6588201586996885,0.026003494859079435,0.22840940576574192
C114,-1.5162849360395159,0.10012595374309134,-2.683058417231922,-0.8255841299718215
C115,-1.3245793653931544,-0.07204297269673074,-1.4451030985612743,-0.6424562682913083
C116,1.0716403701392039,-0.9786411911045275,-0.8225933346513987,0.3696575963342631
C117,-0.1573283669728389,-1.4313812728756645,-0.48783614999139197,1.0725378108069183
C118,-0.8350177913915421,-1.7659825625116852,0.00021616346410894882,1.7998962222496622
C119,-1.5980646264596439,0.228643825474297,0.650899860414515,0.7623696963630928
C120,-2.2095153439334894,-0.06094521363531434,-0.34882434311353244,1.672732004189292
C121,0.6851739367410501,-1.205824319060581,-1.2283749821850987,-0.9609151663117174
C122,-0.12381271324166107,-1.7851021908919686,-1.5167620785724376,-0.49383774139376135
C123,-0.8156677327067624,-2.0250637099286806,-1.1008675621475925,-0.16075099266639595
C124,-1.3583200104752713,-0.4118861339338169,-1.532852181183672,-0.048511652704191804
C125,-1.4532581211834588,-0.7388385284875844,-2.236119754954251,0.1923577192645267
C126,0.3761222676529999,-0.6693652651584455,-0.2052800040914225,0.049955899877982705
C127,0.20156228812742139,-0.67153261742465,-0.40582203667598243,0.6399146825193941
C128,0.08547107739155366,-1.1031092645704526,0.4150931035775117,0.9707427669100506
C129,-1.1135661788403521,0.2749658122991561,-0.3537335765353222,0.5428139309818553
C130,-1.7571292014719424,0.16640158202603894,-0.3462628073751903,1.0056900122085881
C131,-0.1761312387930458,-0.529324552811168,0.22353008127537138,-0.4474280073614445
C132,-0.2723148983235956,-1.201498856310868,0.2630091099997537,0.12901521418491155
C133,-0.4197559544639197,-1.0764362071430218,1.5723438136532824,0.560752549314052
C134,-1.1349246121535068,0.23465906930621722,0.9538173345844426,-0.27299506157294484
C135,-1.2324202427300792,0.3836521657637882,0.40019790529186305,-0.18575794093886955
C136,-0.01134934982527507,-2.2387235912927896,-0.5264238613156416,-1.752606546066795
C137,-1.0340640492861044,-1.8830342000807987,-1.1659867464827791,-1.036097183584328
C138,-1.2347830114460696,-1.8859382657472785,-1.4680962118203815,-0.7851933019675668
C139,-1.2840696978607573,-0.30745830881223224,-1.439999317085337,-1.4359094766296294
C140,-0.8745882038556516,-0.5359517192078022,-0.5172960397602044,-1.6981854824680573
C141,-0.784692061280854,-1.4600974067449475,-0.38167812794428296,-2.0154328407518225
C142,-1.0039943495769015,-1.758111619480671,-0.6296117267134808,-1.6009003206981625
C143,-1.2714104967793305,-1.9994795430638233,0.011814245708152702,-1.1603370033178386
C144,-2.2278671807213932,-0.44538958429360787,-1.2464363753378385,-1.483640374816694
C145,-1.8082209884344345,-0.18617312084471146,-0.867416676219923,-1.663074128936987
C146,-0.4717266321965142,-0.2010550262214876,-0.23900247198718413,-0.3039818445410376
C147,-0.15258112729087459,-0.6866775232631563,-0.545699391994992,-0.15998769677152586
C148,-0.19342776521191118,-0.7557225577495993,-0.06357239961228263,-0.16299858922750177
C149,-0.5501591178495066,0.298086253337866,-1.1451017384712754,-1.6590063301634863
C150,-0.1448815212435986,0.475722217081467,-1.266389975125402,-1.337889111987738
C151,0.07144431063862233,0.6735855383187243,0.42772923600656343,1.1803445397111845
C152,0.9896119282631439,0.3538510771293837,0.08329031993512834,1.2985637818607667
C153,1.511872946126088,0.1541803134622698,0.49932680351268266,1.1905234491216041
C154,1.567246993382699,1.589903584822043,0.38365807714570355,0.9851132626069361
